claimed_amount,days_since_policy_start,days_to_report,historical_claim_count,document_count,missing_document_count,date_conflict_count,amount_conflict_count,amount_vs_repair_estimate_ratio,scenario_label
162097.35,174,11,0,3,0,0,0,1.099,normal
679927.21,35,36,8,1,2,2,2,4.426,synthetic_anomaly
214401.46,821,12,2,3,0,0,0,1.06,normal
213732.22,99,11,0,3,0,0,0,0.974,normal
281427.17,767,19,0,4,0,0,0,1.103,normal
180251.92,182,9,0,3,0,0,0,1.087,normal
316896.51,608,16,0,2,0,0,0,1.073,normal
234501.31,249,19,0,4,0,0,0,0.938,normal
320522.47,876,13,0,2,0,0,0,0.929,normal
268755.71,711,13,2,3,1,0,0,1.069,normal
172145.29,370,13,1,3,0,0,0,1.05,normal
87176.08,334,18,3,2,0,0,0,1.12,normal
61138.13,104,14,0,3,0,0,0,1.048,normal
134313.89,769,8,3,3,0,0,0,1.056,normal
108021.4,438,49,0,3,2,1,2,2.399,synthetic_anomaly
50697.83,101,8,1,3,0,0,0,1.024,normal
124163.39,233,14,10,1,1,0,0,1.263,synthetic_anomaly
220138.36,651,3,1,2,0,0,0,0.994,normal
100403.95,154,0,3,3,0,0,0,1.065,normal
115237.95,276,18,0,3,0,1,0,1.066,normal
335549.66,151,4,3,2,0,0,0,1.024,normal
194056.2,147,12,0,2,0,0,0,0.97,normal
128374.55,135,0,1,2,0,0,0,0.954,normal
168441.03,411,9,0,3,0,0,0,1.025,normal
219416.69,35,3,1,2,0,0,0,1.118,normal
316976.49,463,3,1,2,0,0,0,1.0,normal
121082.51,549,17,0,3,0,0,0,1.018,normal
185283.43,864,17,0,2,0,0,0,1.086,normal
1719410.81,259,33,1,3,0,0,2,3.459,synthetic_anomaly
341256.06,511,7,0,4,0,0,0,1.106,normal
295396.93,548,8,0,2,0,0,0,1.074,normal
258393.22,244,39,5,3,2,0,0,1.38,synthetic_anomaly
194346.57,886,15,1,2,0,0,0,1.015,normal
192394.28,418,0,3,2,0,0,0,1.042,normal
251879.05,672,5,1,2,0,0,1,1.038,normal
25000,41,3,1,2,0,0,0,1.001,normal
334497.21,305,18,0,3,0,0,0,1.03,normal
225885.22,824,14,0,2,0,0,0,1.01,normal
245089.6,894,3,0,3,0,0,0,1.018,normal
205634.88,193,15,3,2,0,0,0,0.992,normal
228924.84,354,20,0,2,0,0,0,1.009,normal
1200861.2,191,25,2,2,2,0,2,4.887,synthetic_anomaly
210176.13,290,38,2,2,0,1,0,2.2,synthetic_anomaly
159214.1,517,20,1,2,0,0,0,1.015,normal
105016.99,339,15,0,3,0,0,0,1.006,normal
1454858.4,25,113,3,2,3,2,2,2.376,synthetic_anomaly
600551.87,14,40,0,0,3,0,0,1.355,synthetic_anomaly
87967.39,890,20,0,3,0,0,0,1.061,normal
333992.55,414,2,1,3,0,0,0,0.935,normal
201720.8,373,10,2,2,0,0,0,0.987,normal
150090.0,695,2,2,3,0,0,0,1.108,normal
155344.21,220,0,1,3,0,0,0,1.042,normal
120107.37,373,7,4,2,2,0,0,0.966,synthetic_anomaly
306157.37,667,15,1,3,0,0,0,1.054,normal
208881.63,858,13,1,4,0,0,0,1.001,normal
183782.47,129,7,2,2,0,0,0,1.096,normal
107046.14,116,37,5,3,1,0,0,1.457,synthetic_anomaly
203472.77,311,7,0,3,0,0,0,1.02,normal
110574.92,669,10,2,3,0,0,0,0.996,normal
340076.29,670,18,1,4,0,0,0,0.981,normal
202897.36,301,1,0,2,0,0,0,1.024,normal
126004.07,680,14,2,2,0,0,1,0.975,normal
151158.01,884,15,3,2,0,0,0,1.027,normal
314923.75,535,4,2,2,0,0,0,1.025,normal
1057993.42,44,177,4,1,3,2,2,4.226,synthetic_anomaly
401715.62,808,20,1,2,0,0,0,1.119,normal
247424.47,503,7,2,2,0,0,0,1.059,normal
433219.57,502,9,1,2,0,0,0,0.974,normal
114458.45,37,2,1,2,0,0,0,1.003,normal
298100.31,230,41,8,1,1,0,0,1.092,synthetic_anomaly
343721.81,887,18,1,3,0,0,0,1.032,normal
100193.96,853,14,2,3,0,0,0,1.052,normal
232448.31,478,1,0,3,0,0,0,0.996,normal
157810.04,334,9,1,3,0,0,0,1.166,normal
258146.23,571,4,1,2,0,0,0,1.097,normal
294838.97,93,46,2,1,2,3,1,2.566,synthetic_anomaly
246584.67,737,4,0,3,0,0,0,1.031,normal
145508.25,492,16,0,3,0,0,0,1.091,normal
127772.48,769,4,0,3,0,0,1,1.019,normal
250266.71,362,15,0,2,0,0,0,1.061,normal
174070.73,516,67,2,3,1,3,1,2.55,synthetic_anomaly
316094.47,191,13,1,3,0,0,0,1.032,normal
115536.67,725,14,2,2,0,0,0,0.996,normal
153687.25,845,1,2,2,0,0,0,1.15,normal
220078.72,186,7,0,3,0,0,0,1.042,normal
249025.89,167,8,0,2,0,0,0,1.018,normal
205252.77,484,11,0,3,0,0,0,0.995,normal
122312.22,339,19,3,3,0,0,0,1.058,normal
280825.23,510,14,1,4,0,0,0,0.942,normal
218447.65,654,12,0,2,0,0,0,1.097,normal
331203.22,739,7,0,2,0,0,0,1.036,normal
264763.94,421,19,1,2,0,0,0,1.103,normal
184296.71,38,3,0,3,0,0,0,0.986,normal
148091.32,158,20,0,2,0,0,1,0.973,normal
204090.65,679,8,0,2,0,0,0,0.99,normal
157444.29,45,2,2,3,0,0,0,0.969,normal
226894.66,802,19,2,2,0,0,0,1.074,normal
264864.64,376,20,0,3,0,0,0,1.072,normal
245042.56,786,11,1,3,0,0,0,1.045,normal
283958.97,186,13,0,2,0,0,0,0.988,normal
194049.27,864,4,0,2,0,0,0,0.92,normal
248673.47,307,17,1,2,0,0,0,1.14,normal
149408.46,266,3,1,2,0,0,0,1.045,normal
124341.03,88,2,1,2,0,0,0,0.948,normal
112764.26,328,1,0,3,0,0,0,1.055,normal
281366.98,776,10,0,4,0,0,0,1.07,normal
1441142.84,27,77,8,2,4,1,2,4.313,synthetic_anomaly
189288.58,39,5,0,3,0,0,1,1.023,normal
211600.98,640,8,1,2,0,0,0,1.079,normal
285724.43,440,2,0,3,0,0,0,0.973,normal
222167.0,326,7,1,3,0,0,0,0.997,normal
176603.33,202,2,0,2,0,0,0,1.076,normal
208909.53,347,9,9,2,1,0,0,0.944,synthetic_anomaly
192944.6,878,16,0,3,0,0,0,1.082,normal
249902.09,864,11,0,2,0,0,0,1.099,normal
351842.46,824,18,1,3,0,0,0,1.008,normal
242278.29,2,90,1,2,3,0,0,1.205,synthetic_anomaly
145721.3,276,6,1,2,0,0,0,1.071,normal
226487.08,371,4,1,2,0,0,0,1.014,normal
101285.76,463,16,0,2,0,0,1,1.016,normal
979234.7,25,166,7,2,4,3,1,4.288,synthetic_anomaly
253166.19,650,15,2,4,0,0,0,0.871,normal
214196.94,576,7,0,3,0,0,0,0.965,normal
303195.99,688,10,1,3,0,0,0,1.069,normal
367500.86,724,14,0,2,0,0,0,1.053,normal
83896.74,266,2,1,2,0,0,0,1.09,normal
258789.93,537,9,1,2,0,0,0,1.082,normal
326598.71,309,3,1,2,0,0,1,1.056,normal
356654.13,122,19,1,2,0,0,0,1.086,normal
110669.22,118,2,0,4,0,0,0,1.004,normal
228554.13,224,3,1,3,0,0,0,1.027,normal
217852.53,864,16,0,4,0,0,0,0.965,normal
304308.34,708,0,0,2,0,0,0,0.986,normal
111984.25,627,9,1,3,0,0,0,0.881,normal
231324.28,423,19,0,4,0,0,0,1.045,normal
293404.63,498,10,2,4,0,0,0,1.093,normal
213983.49,326,1,0,3,0,1,0,0.908,normal
564913.82,12,136,1,2,2,0,0,1.056,synthetic_anomaly
149257.85,92,12,1,3,0,0,0,0.959,normal
234552.59,11,53,1,1,2,0,0,1.182,synthetic_anomaly
288295.48,887,5,2,2,0,0,0,1.0,normal
25000,214,17,0,2,0,0,0,1.113,normal
85290.6,895,17,3,3,0,0,0,0.981,normal
1193432.93,41,74,7,0,4,2,1,2.236,synthetic_anomaly
1024769.17,297,25,2,1,2,0,1,3.573,synthetic_anomaly
271990.3,761,2,0,2,0,0,0,0.924,normal
178384.12,61,1,3,3,0,0,0,1.112,normal
47806.36,154,14,0,2,0,0,0,0.983,normal
167480.68,683,7,0,2,0,0,0,0.965,normal
101007.96,122,9,0,2,0,0,0,0.983,normal
188049.59,297,12,0,3,1,0,0,1.071,normal
134383.65,126,3,1,2,0,0,0,1.04,normal
253750.26,172,7,1,2,0,0,0,1.058,normal
151024.77,408,9,1,3,0,0,0,1.056,normal
294828.52,795,17,1,3,0,0,0,1.012,normal
229985.91,813,18,0,2,0,0,0,1.026,normal
276211.78,91,35,4,3,2,1,0,3.336,synthetic_anomaly
1249282.05,366,30,0,2,2,0,2,2.616,synthetic_anomaly
99896.26,814,20,3,3,0,1,0,1.086,normal
150767.72,286,0,0,4,0,0,1,1.052,normal
187052.29,821,20,0,3,0,0,0,0.999,normal
1176540.88,148,19,0,2,1,0,2,4.314,synthetic_anomaly
86767.65,410,3,1,2,0,0,0,0.973,normal
129396.7,37,6,0,2,0,0,0,1.08,normal
246991.91,527,2,3,2,0,0,1,1.022,normal
194110.52,87,11,0,2,0,0,0,1.075,normal
152167.04,309,5,0,3,0,0,0,1.083,normal
139685.79,144,11,2,3,0,0,0,0.99,normal
148956.46,369,0,0,4,0,0,0,0.926,normal
301769.78,746,12,2,2,0,0,0,1.095,normal
301424.1,46,8,1,3,0,0,0,0.956,normal
313631.73,348,3,1,4,0,0,1,0.973,normal
131175.6,768,20,1,2,0,0,0,1.112,normal
228010.87,281,15,1,4,0,0,0,1.107,normal
102956.38,181,7,0,4,0,0,0,0.951,normal
402116.84,90,16,0,3,1,0,0,0.913,normal
272135.47,730,2,1,3,0,0,0,1.027,normal
1190437.31,9,118,3,1,1,2,2,4.73,synthetic_anomaly
260273.62,505,6,0,2,0,0,1,1.082,normal
307880.13,67,4,0,3,0,0,0,1.022,normal
228795.66,875,18,0,3,0,0,0,0.964,normal
167874.15,359,9,0,2,0,0,0,1.057,normal
343010.54,110,17,0,3,0,0,0,1.126,normal
122122.11,285,3,0,2,0,0,0,1.082,normal
214650.86,628,15,0,3,0,0,0,1.009,normal
188725.32,590,16,0,2,0,0,0,1.022,normal
